line,character,dialogue,sentiment
59,DECK OFFICER,I haven't seen him. It's possible he came in through the  south entrance.,0
60,HAN,It's possible? Why don't you go find out? It's getting dark out  there.,0
61,DECK OFFICER,"Yes, sir.",1
62,THREEPIO,"Excuse me, sir. Might I inquire what's going on?",0
63,HAN,Why not?,0
64,THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger.",0
65,DECK OFFICER,"Sir, Commander Skywalker hasn't come in through the  south entrance. He might have forgotten to check in.",1
66,HAN,Not likely. Are the speeders ready?,0
67,DECK OFFICER,Not yet. We're having some trouble adapting them to the  cold.,1
68,HAN,Then we'll have to go out on Tauntauns.,0
69,DECK OFFICER,"Sir, the temperature's dropping too rapidly.",0
70,HAN,That's right. And my friends out in it.,1
71,ASSISTANT OFFICER,I'll cover sector twelve. Have com-control set  screen alpha.,1
72,DECK OFFICER,Your Tauntaun'll freeze before you reach the first  marker.,0
73,HAN,Then I'll see you in hell!,0
74,THREEPIO,"You must come along now, Artoo. There's really nothing more  we can do. And my joints are freezing up.",1
75,THREEPIO,"Don't say thing like that! Of course we'll see Master Luke  again. He'll be quite all right, you'll see.  Stupid little short-circuit. He'll be quite all right.",1
76,LIEUTENANT,"Sir, all the patrols are in. There's still no contact from  Skywalker or Solo.",1
77,THREEPIO,"Mistress Leia, Artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope.",0
78,DERLIN,"Your Highness, there's nothing more we can do tonight. The  shield doors must be closed.",0
79,DERLIN,Close the doors.,0
80,LIEUTENANT,"Yes, sir.",1
81,THREEPIO,Artoo says the chances of survival are seven hundred  seventy-five...to one.,0
82,THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being.",0
83,BEN,Luke...Luke.,1
84,LUKE,Ben?,0
85,BEN,You will go to the Dagobah system.,0
86,LUKE,Dagobah system?,0
87,BEN,"There you will learn from Yoda, the Jedi Master who instructed  me.",1
88,LUKE,Ben...Ben.,0
89,HAN,"Luke! Luke! Don't do this, Luke. Come on, give me a sign here.",1
90,HAN,Not much time.,0
91,LUKE,Ben...Ben...,0
92,HAN,"Hang on, kid.",0
93,LUKE,Dagobah system...,0
94,HAN,Whew...,1
95,LUKE,Dagobah...,0
96,HAN,"This may smell bad, kid...",0
97,LUKE,Yoda...,0
98,HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside!,0
99,ZEV,"Echo Base...I've got something! Not much, but  it could be a life form.",0
100,ZEV,"This is Rouge Two. this is Rouge Two. Captain  Solo, so you copy? Commander Skywalker, do you copy? This is Rouge Two.",1
101,HAN,Good morning. Nice of you guys to  drop by.,1
102,ZEV,"Echo Base...this is Rouge Two. I found  them. Repeat, I found them.",0
103,THREEPIO,"Master Luke, sir, it's good to see you fully functional  again.",1
104,THREEPIO,"Artoo expresses his relief, also.",1
105,HAN,"How are you feeling, kid? You don't look so bad to me. In fact,  you look strong enough to pull the ears off a Gundark.",0
106,LUKE,Thanks to you.,1
107,HAN,"That's two you owe me, junior.",1
108,HAN,"Well your Worship, looks like you managed to keep me around for a  little while longer.",0
109,LEIA,I had nothing to do with it. General Rieekan thinks  it's dangerous for any ships to leave the system until we've activated the energy shield.,0
110,HAN,That's a good story. I think you just can't bear to let a  gorgeous guy like me out of your sight.,0
111,LEIA,"I don't know where you get you delusions, laser brain.",0
112,HAN,"Laugh it up, fuzz ball. But you didn't see us alone in the south  passage.",0
113,HAN,She expressed her true feelings for me.,0
114,LEIA,"My...! Why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!",0
115,HAN,"Who's scruffy-looking?  I must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?",0
116,LEIA,"Why, I guess you don't know everything about women yet?",0
117,ANNOUNCER,"Headquarters personnel, report to command  center.",0
118,HAN,Take it easy.,0
119,THREEPIO,"Excuse us, please.",0
120,RIEEKAN,Princess...we have a visitor.,0
121,RIEEKAN,"We've picked up something outside the base in zone twelve,  moving east.",0
122,SENIOR CONTROLLER,It's metal.,1
123,LEIA,Then it couldn't be one of those creatures that attacked Luke.,0
124,HAN,"It could be a speeder, one of ours.",0
125,SENIOR CONTROLLER,No. Wait -- there's something very weak coming  through.,1
126,THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code.",0
127,HAN,"It isn't friendly, whatever it is. Come on, Chewie, let's check  it out.",1
128,RIEEKAN,Send Rouges Ten and Eleven to station three-eight.,0
129,HAN,Afraid there's not much left.,1
130,LEIA,What was it?,0
131,HAN,Droid of some kind. I didn't hit it that hard. It  must have had a self-destruct.,0
132,LEIA,An Imperial probe droid.,0
133,HAN,It's a good bet the Empire knows we're here.,1
134,RIEEKAN,We'd better start the evacuation.,1
135,PIETT,Admiral.,1
136,OZZEL,"Yes, Captain",1
137,PIETT,"I think we've got something, sir. The report is only a fragment  had.",0
138,OZZEL,"We have thousands of probe droids searching the  galaxy. I want proof, not leads!",0
139,PIETT,The visuals indicate life readings.,1
140,OZZEL,It could mean anything. If we followed every lead...,0
141,PIETT,"But, sir, the Hoth system is supposed to be devoid of human  forms.",0
142,VADER,You found something?,0
143,PIETT,"Yes, my lord.",1
144,VADER,That's it. The  Rebels are there.,1
145,OZZEL,"My lord, there are so many uncharted settlements. It could be  smugglers, it could be...",0
146,VADER,"That is the system. And I'm sure Skywalker is with them. Set  your course for the Hoth system. General Veers, prepare you men.",1
147,REBEL CAPTAIN,"Groups seven and ten will stay behind to fly the  speeders. As soon as each transport is loaded, evacuation control will give clearance for immediate launch.",0
148,REBEL FIGHTER,"Right, sir.",1
149,HAN,"Okay, that's it. Try it...Off! Turn it  off! Turn it off! Off!",0
150,MEDICAL DROID,"Sir, it will take quite awhile to evacuate the T-forty-  sevens.",0
151,LUKE,"Well, forget the heavy equipment. There's plenty of time to get  the smaller modules on the transports.",1
152,MEDICAL DROID,"Take care, sir.",1
153,LUKE,Thanks.,1
154,LUKE,"Chewie, take care of yourself, okay?",1
155,HAN,"Hi, kid.  There's got to be a reason for it. Check it  at the other end. Wait a second.  You all right?",1
156,LUKE,Yeah.,1
157,HAN,Be careful.,1
158,LUKE,"You, too.",0
159,CONTROLLER,"General, there's a fleet of Star Destroyers coming out of  hyperspace in sector four.",1
160,RIEEKAN,Reroute all power to the energy shield. We've got to hold  them till all transports are away. Prepare for ground assault.,0
161,VADER,"What is it, General?",0
162,VEERS,"My lord, the fleet has moves out of light-speed. Com-Scan has  detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.",0
163,VADER,The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system.,0
164,VEERS,He felt surprise was wiser...,0
165,VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack.",0
166,VEERS,"Yes, my lord.",1
167,OZZEL,"Lord Vader, the fleet has moved out of light-speed, and we're  preparing to...Aaagh!",1
168,VADER,"You have failed me for the last time, Admiral. Captain Piett.",0
169,PIETT,"Yes, my lord.",1
170,VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.",0
171,PIETT,"Thank you, Lord Vader.",1
172,LEIA,"All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports.",0
173,HOBBIE,Two fighters against a Star Destroyer?,1
174,LEIA,"The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?",0
175,PILOTS,Right. Okay.,1
176,LEIA,Good luck.,1
177,DERLIN,Okay. Everyone to your stations. Let's go!,1
178,RIEEKAN,Their primary target will be the power generators. Prepare to  open the shield.,0
179,CONTROLLER,"Sir, Rebel ships are coming into our sector.",1
180,CAPTAIN,Good. Our first catch of the day.,1
181,WOMAN CONTROLLER,"Stand by, ion control....Fire!",0
182,ANNOUNCER,The first transport is away.,1
183,DACK,"Feeling all right, sir?",1
184,LUKE,"Just like new, Dack. How about you?",0
185,DACK,Right now I feel I could take on the whole Empire myself.,0
186,LUKE,I know what you mean.,0
187,TRENCH OFFICER,Echo Station Three-T-Eight.,0
188,TRENCH OFFICER,We have spotted Imperial walkers!,0
189,CONTROLLER,Imperial walkers on the north ridge.,0
190,LUKE,Echo station Five-Seven. We're on our way.,0
191,LUKE,"All right, boys, keep tight now.",1
192,DACK,"Luke, I have no approach vector. I'm not set.",0
193,LUKE,"Steady, Dack. Attack pattern delta. Go now!",0
194,LUKE,"All right, I'm coming in.",1
195,LUKE,"Hobbie, you still with me?",1
196,LUKE,That armor's too strong for blasters.,1
197,LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack.",1
198,DACK,"Luke, we've got a malfunction in fire control. I'll have to cut  in the auxiliary.",0
199,LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",0
200,LUKE,Dack? Dack!,0
201,VEERS,"Yes, Lord Vader. I've reached the main power generator. The  shield will be down in moments. You may start your landing.",0
202,LUKE,Rouge Three.,1
203,WEDGE,"Copy, Rouge Leader",1
204,LUKE,"Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass.",1
205,WEDGE,"Coming around, Rouge Leader.",1
206,LUKE,"Steady, Rouge Two",1
207,WEDGE,Activate harpoon.,0
208,WEDGE,"Good shot, Janson.",1
209,WEDGE,One more pass.,0
210,JANSON,Coming around. Once more.,0
211,JANSON,One more.,0
212,JANSON,Cable out! Let her go!,0
213,WEDGE,Detach cable.,0
214,JANSON,Cable detached.,0
215,TRENCH OFFICER,Come on!,1
216,WEDGE,Whooha!! That got him!,1
217,LUKE,"I see it, Wedge. Good work.",0
218,RIEEKAN,I don't think we can protect two transports at a time.,0
219,LEIA,"It's risky, but we can't hold out much longer. We have no  choice.",0
220,RIEEKAN,Launch patrols.,1
221,LEIA,Evacuate remaining ground staff.,0
222,HAN,"No, no! No! This one goes there, that one goes there. right?",1
223,THREEPIO,"Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear.",1
224,VEERS,All troops will debark for ground assault. Prepare to target  the main generator.,0
225,LUKE,"Rouge Two, are you all right?",1
226,ZEV,"Yeah. I'm with you, Rouge Leader.",1
227,LUKE,We'll set harpoon. I'll cover for you.,0
228,ZEV,Coming around.,1
229,LUKE,"Watch that cross fire, boys.",0
230,ZEV,Set for position three.  Steady.,1
231,LUKE,Stay tight and low.,1
232,LUKE,"Hobbie, I've been hit!",1
233,HAN,You all right?,0
234,LEIA,Why are you still here?,0
235,HAN,I heard the command center had been hit.,1
236,LEIA,You got your clearance to leave.,1
237,HAN,Don't worry. I'll leave. First I'm going to get you to your ship.,0
238,THREEPIO,"Your Highness, we must take this last transport. It's our  only hope.",0
239,LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.,0
240,ANNOUNCER,Imperial troops have entered the base.,0
241,HAN,Come on...that's it.,1
242,LEIA,Give the evacuation code signal. And get to  your transports!,0
243,HEAD CONTROLLER,K-one-zero...all troops disengage.,0
244,THREEPIO,Oh! Wait for me!,0
245,OFFICER,Begin retreat!,0
246,SECOND OFFICER,Fall back!,0
247,VEERS,Distance to power generators?,0
248,PILOT,"One-seven, decimal two-eight.",0
249,VEERS,Target. Maximum fire power.,0
250,HAN,"Transport, this is Solo. Better take off -- I  can't get to you. I'll get the princess out on the Falcon.",1
251,THREEPIO,But...but...but...where are you going? Uh...come back!!,1
252,THREEPIO,Wait! Wait for me! Wait! Stop!,0
253,THREEPIO,How typical.,0
254,HAN,Come on.,1
255,HAN,"Hurry up, goldenrod, or you're going to be a permanent resident!",0
256,THREEPIO,Wait! Wait!,0
257,HAN,How's this?,0
258,LEIA,Would it helped if I got out and pushed?,0
259,HAN,It might.,0
260,THREEPIO,"Captain Solo, Captain Solo...sir, might I suggest that  you...",1
261,THREEPIO,It can wait.,0
262,LEIA,The bucket of bolts is never going to get us past that blockade.,0
263,HAN,"This baby's got a few surprises left in her, sweetheart.",1
264,HAN,Come on! Come on! Switch over. Let's hope we don't have a  burnout.,1
265,HAN,See?,0
266,LEIA,"Someday you're going to be wrong, and I hope I'm there to see it.",0
267,HAN,Punch it!,0
268,LUKE,Artoo! Get her ready for takeoff.,0
269,WEDGE,"Good luck, Luke. See you at the rendezvous.",1
270,LUKE,"Don't worry, Artoo. We're going, we're going.",1
271,LUKE,"There's nothing wrong, Artoo. I'm just setting a  new course.",1
272,LUKE,We're not going to regroup with the others.,1
273,LUKE,We're going to the Dagobah system.,0
274,LUKE,"Yes, Artoo?",0
275,LUKE,That's all right. I'd like to keep it  on manual control for a while.,1
276,HAN,I saw them! I saw them!,0
277,LEIA,Saw what?,0
278,HAN,"Star Destroyers, two of them, coming right at us.",1
279,THREEPIO,"Sir, sir! Might I suggest...",0
280,HAN,Shut him up or shut him down!  Check the  deflector shield!,0
281,HAN,"Oh, great. Well, we can still outmaneuver them.",1
282,IMPERIAL OFFICER,Take evasive action!,1
283,HAN,Prepare to make the jump to light-speed.,0
284,THREEPIO,"But, sir!",1
285,LEIA,They're getting closer!,1
286,HAN,Oh yeah? Watch this.,0
287,LEIA,Watch what?,0
288,HAN,I think we're in trouble.,0
289,THREEPIO,"If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It's impossible to go to light-speed!",0
290,HAN,We're in trouble!,1
291,HAN,Horizontal boosters...!,0
292,HAN,Alluvial dampers...! Well that's not it.,0
293,HAN,Bring me the hydrospanners!,1
294,HAN,I don't know how we're going to get out of this one.,0
295,HAN,Oww! Chewie!,0
296,HAN,That was no laser blast! Something hit us.,1
297,LEIA,"Han, get up here!",0
298,HAN,"Come on, Chewie!",0
299,LEIA,Asteroids!,0
300,HAN,"Oh, no! Chewie, set two-seven-one.",0
301,LEIA,What are you doing? You're not actually going into an asteroid  field?,0
302,HAN,"They'd be crazy to follow us, wouldn't they?",0
303,LEIA,You don't have to do this to impress me.,0
304,THREEPIO,"Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one.",0
305,HAN,Never tell me the odds!,1
306,HAN,"You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart.",0
307,LEIA,I take it back. We're going to get pulverized if we stay out  here much longer.,0
308,HAN,I'm not going to argue with that.,0
309,THREEPIO,Pulverized?,0
310,HAN,I'm going in closer to one of the big ones.,0
311,LEIA,Closer?,0
312,THREEPIO,Closer?!,0
313,THREEPIO,"Oh, this is suicide!",0
314,HAN,There. That looks pretty good.,1
315,LEIA,What looks pretty good?,0
316,HAN,Yeah. That'll do nicely.,1
317,THREEPIO,"Excuse me, ma'am, but where are we going?",0
318,LEIA,I hope you know what you're doing.,1
319,HAN,"Yeah, me too.",1
320,LUKE,"Yes, that's it. Dagobah.",1
321,LUKE,"No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there...",0
322,LUKE,"Yes, I'm sure it's perfectly safe for droids.",1
323,LUKE,"I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle...",0
324,LUKE,"No, Artoo, you stay put. I'll have a look around.",0
325,LUKE,Artoo?,0
326,LUKE,Artoo! Where are you?,0
327,LUKE,Artoo! You be more careful.,0
328,LUKE,Artoo -- that way!,0
329,LUKE,Artoo!,0
330,LUKE,"Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?",0
331,LUKE,"If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy.",0
332,VADER,"Yes, Admiral?",0
333,PIETT,"Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk...",0
334,VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses.",0
335,PIETT,"Yes, lord.",0
336,HAN,I'm going to shut down everything but the emergency power  systems.,0
337,THREEPIO,"Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?",0
338,HAN,"No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive.",0
339,THREEPIO,"Sir, it's quite possible this asteroid is not entirely  stable.",1
340,HAN,"Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive.",1
341,THREEPIO,"Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most...",0
342,LEIA,Let go.,1
343,HAN,Sshh!,0
344,LEIA,"Let go, please.",1
345,HAN,Don't get excited.,0
346,LEIA,"Captain, being held by you isn't quite enough to get me excited.",0
347,HAN,"Sorry, sweetheart. We haven't got time for anything else.",0
348,LUKE,Ready for some power? Okay. Let's see now. Put that in there.  There you go.,1
349,LUKE,Now all I have to do is find this Yoda...if he even  exists.,0
350,LUKE,Still...there's something familiar about this place. I feel  like...I don't know...,0
351,STRANGE VOICE,Feel like what?,0
352,LUKE,Like we're being watched!,0
353,CREATURE,Away with your weapon! I mean you no harm.,1
354,CREATURE,"I am wondering, why are you here?",0
355,LUKE,I'm looking for someone.,0
356,CREATURE,"Looking? Found someone, you have, I would say, hmmm?",0
357,LUKE,Right.,1
358,CREATURE,"Help you I can. Yes, mmmm.",0
359,LUKE,I don't think so. I'm looking for a great warrior.,0
360,CREATURE,Ahhh! A great warrior.  Wars not  make one great.,1
361,LUKE,Put that down. Hey! That's my dinner.,1
362,CREATURE,"How you get so big, eating food of this kind?",0
363,LUKE,"Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just...",0
364,CREATURE,"Aww, cannot get your ship out?",0
365,LUKE,"Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!",0
366,CREATURE,Mine! Or I will help you not.,0
367,LUKE,I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole.,0
368,CREATURE,Mudhole? Slimy? My home this is.,0
369,CREATURE,"Ah, ah, ah!",1
370,LUKE,"Oh, Artoo, let him have it.",0
371,CREATURE,Mine! Mine!,1
372,LUKE,Artoo!,0
373,CREATURE,Mine!,1
374,CREATURE,Mine!,1
375,LUKE,"Now will you move along, little fella? We're got a lot  of work to do.",1
376,CREATURE,"No! No, no! Stay and help you, I will.  Find your  friend, hmm?",0
377,LUKE,"I'm not looking for a friend, I'm looking for a Jedi Master.",1
378,CREATURE,Oohhh. Jedi Master. Yoda. You seek Yoda.,1
379,LUKE,You know him?,0
380,CREATURE,"Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come.",1
381,CREATURE,"Come, come.",1
382,LUKE,"Stay here and watch after the camp, Artoo.",0
383,THREEPIO,"Oh, where is Artoo when I need him?",0
384,THREEPIO,"Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it.",0
385,HAN,"Well, of course I'll have to replace it.",0
386,HAN,Here! And Chewie...,1
387,HAN,...I think we'd better replace the negative power  coupling.,0
388,HAN,"Hey, Your Worship, I'm only trying to help.",0
389,LEIA,Would you please stop calling me that?,0
390,HAN,"Sure, Leia.",1
391,LEIA,"Oh, you make it so difficult sometimes.",0
392,HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right.",0
393,LEIA,Occasionally  maybe...when you aren't  acting like a scoundrel.,0
394,HAN,Scoundrel? Scoundrel? I like the sound of that.,0
395,LEIA,Stop that.,0
396,HAN,Stop what?,0
397,LEIA,Stop that! My hands are dirty.,1
398,HAN,"My hands are dirty, too. What are you afraid of?",0
399,LEIA,Afraid?,0
400,HAN,You're trembling.,1
401,LEIA,I'm not trembling.,0
402,HAN,You like me because I'm a scoundrel. There aren't enough  scoundrels in your life.,0
403,LEIA,I happen to like nice men.,0
404,HAN,I'm a nice man.,1
405,LEIA,"No, you're not. You're...",1
406,THREEPIO,"Sir, sir! I've isolated the reverse power flux coupling.",0
407,HAN,Thank you. Thank you very much.,1
408,THREEPIO,"Oh, you're perfectly welcome, sir.",1
409,NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed.",0
410,VADER,"No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found.",0
411,PIETT,Lord Vader.,0
412,VADER,"Yes, Admiral, what is it?",0
413,PIETT,The Emperor commands you make contact with him.,0
414,VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.,0
415,PIETT,"Yes, my lord.",1
416,VADER,"What is thy bidding, my master?",0
417,EMPEROR,There is a great disturbance in the Force.,1
418,VADER,I have felt it.,0
419,EMPEROR,We have a new enemy -- Luke Skywalker.,1
420,VADER,"Yes, my master.",1
421,EMPEROR,He could destroy us.,0
422,VADER,He's just a boy. Obi-Wan can no longer help him.,1
423,EMPEROR,The Force is strong with him. The son of Skywalker must not  become a Jedi.,1
424,VADER,"If he could be turned, he would become a powerful ally.",1
425,EMPEROR,Yes. Yes. He would be a great asset. Can it be done?,1
426,VADER,"He will join us or die, my master.",1
427,LUKE,"Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now.",0
428,CREATURE,"Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?",0
429,LUKE,How far away is Yoda? Will it take us long to get there?,0
430,CREATURE,"Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?",0
431,LUKE,"Mostly because of my father, I guess.",1
432,CREATURE,"Ah, your father. Powerful Jedi was he, powerful Jedi, mmm.",1
433,LUKE,"Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time.",0
434,CREATURE,I cannot teach him. The boy has no patience.,1
435,BEN,He will learn patience.,1
436,YODA,"Hmmm. Much anger in him, like his father.",1
437,BEN,Was I any different when you taught me?,0
438,YODA,Hah. He is not ready.,1
439,LUKE,"Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready.",0
440,YODA,"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!",1
441,BEN,"So was I, if you'll remember.",0
442,YODA,"He is too old. Yes, too old to begin the training.",0
443,LUKE,But I've learned so much.,0
444,YODA,Will he finished what he begins?,0
445,LUKE,I won't fail you -- I'm not afraid.,0
446,YODA,"Oh, you will be. You will be.",0
447,THREEPIO,"Sir, if I may venture an opinion...",0
448,HAN,"I'm not really interested in your opinion, Threepio.",0
449,LEIA,There's something out there.,1
450,HAN,Where?,0
451,LEIA,"Outside, in the cave.",0
452,THREEPIO,There it is. Listen! Listen!,1
453,HAN,I'm going out there.,1
454,LEIA,Are you crazy?!,0
455,HAN,I just got this bucket back together. I'm not going to let  something tear it apart.,0
456,LEIA,Then I'm going with you.,1
457,THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no.",0
458,LEIA,This ground sure feels strange. It doesn't feel like rock at  all.,0
459,HAN,There's an awful lot of moisture in here.,0
460,LEIA,I don't know. I have a bad feeling about this.,0
461,HAN,Yeah.,1
462,HAN,Watch out!,0
463,HAN,"Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables.",0
464,LEIA,Mynocks?,0
465,HAN,Go on inside. We'll clean them off if there are any more.,1
466,THREEPIO,Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!,0
467,HAN,Wait a minute...,0
468,HAN,"All right, Chewie, let's get out of here!",1
469,LEIA,The Empire is still out there. I don't think it's wise to...,0
470,HAN,No time to discuss this as a committee.,0
471,LEIA,I am not a committee!,0
472,LEIA,You can't make the jump to light-speed in this asteroid field...,0
473,HAN,"Sit down, sweetheart. We're taking off!",1
474,THREEPIO,Look!,0
475,HAN,"I see it, I see it.",0
476,THREEPIO,We're doomed!,0
477,LEIA,The cave is collapsing.,0
478,HAN,This is no cave.,0
479,LEIA,What?,0
